Connor Riley,,,,,,,,,
Wrap:,TRUE,,,,,,,,
K(states):,5,,,,,,,,
Radius:,1,,,,,,,,
Quiescence:,TRUE,,,,,,,,
random seed:,1769906127,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Experiment #:,0,,,,,,,,
Rule:,4.43E+11,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Lempel-Ziv Complexity,Zeta,Observations
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Lempel-Ziv Complexity,Zeta,Observations
0,-,3,0.992,0.923076923,1.876235329,2.16197818,0.283025,,Chaos
1,12,3,0.984,0.846153846,1.898911063,2.16197818,0.295905,,Chaos
2,6,3,0.832,0.769230769,1.981694774,2.10390991,0.30579,,Chaos
3,7,3,0.688,0.692307692,1.966871823,2.10390991,0.288615,,Chaos
4,1,3,0.664,0.615384615,1.937783643,2.038159682,0.288815,,Chaos
5,10,3,0.616,0.538461538,1.85122245,1.891995487,0.28227,,Chaos
6,11,3,0.592,0.461538462,1.85122245,1.823026491,0.2821,,Chaos
7,3,1,0.512,0.384615385,1.537126416,1.488525295,0.021555,,"Homogenous, vertical lines"
8,2,1,0.464,0.307692308,1.303980631,1.140115679,0.00946,,"Homogenous, vertical lines"
9,9,1,0.384,0.230769231,0.960818175,0.779349837,0.00182,,Homogenous
10,8,1,0.264,0.153846154,0.832722637,0.619382195,0.00181,,Homogenous
11,4,1,0.144,0.076923077,0.594619344,0.391243564,0.00175,,Homogenous
12,5,1,0,0,0,0,0.001575,,Homogenous
,,,,,,,,,
,,,,,,,,,
Experiment #:,27,,,,,,,,
Rule:,4.11E+11,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Lempel-Ziv Complexity,Zeta,Observations
0,-,4,0.992,0.923076923,1.68788272,2.075869297,0.16364,,"Near chaos, triangle structures"
1,3,3,0.912,0.846153846,1.959093998,2.199687795,0.28061,,Chaos
2,4,1,0.792,0.769230769,2.030523269,2.199687795,0.03491,,"Homogenous, vertical lines"
3,8,1,0.672,0.692307692,2.068114039,2.199687795,0.035275,,"Homogenous, vertical lines"
4,5,1,0.528,0.615384615,1.92057347,2.133937566,0.0114,,"Homogenous, vertical lines"
5,1,1,0.504,0.538461538,1.890642519,2.045841641,0.00939,,"Homogenous, vertical lines"
6,12,1,0.496,0.461538462,1.877198321,1.88109476,0.009245,,"Homogenous, vertical lines"
7,2,1,0.448,0.384615385,1.764087655,1.700439718,0.00232,,Homogenous
8,7,1,0.304,0.307692308,1.407939082,1.505876256,0.00199,,Homogenous
9,6,1,0.152,0.230769231,0.832636192,1.145110414,0.001815,,Homogenous
10,9,1,0.072,0.153846154,0.439460621,0.773228349,0.001695,,Homogenous
11,10,1,0.024,0.076923077,0.163345543,0.391243564,0.001665,,Homogenous
12,11,1,0,0,0,0,0.001575,,Homogenous
,,,,,,,,,
,,,,,,,,,
Experiment #:,28,,,,,,,,
Rule:,2.34E+11,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Lempel-Ziv Complexity,Zeta,Observations
0,-,4,0.992,0.923076923,1.586468127,2.038159682,0.17329,,"Near chaos, triangle structures"
1,8,4,0.872,0.846153846,1.854053723,2.133937566,0.218235,,"Near chaos, triangle structures"
2,2,4,0.824,0.769230769,1.935090577,2.199687795,0.245045,,"Near chaos, triangle structures"
3,1,3,0.8,0.692307692,1.829218404,1.950063756,0.25061,,Chaos
4,7,1,0.656,0.615384615,1.906440757,1.922023143,0.018995,,"Homogenous, vertical lines"
5,4,1,0.536,0.538461538,1.566972651,1.775858948,0.008295,,"Homogenous, vertical lines"
6,10,1,0.488,0.461538462,1.499258799,1.669180337,0.007985,,"Homogenous, vertical lines"
7,12,1,0.48,0.384615385,1.439627536,1.334679141,0.01042,,"Homogenous, vertical lines"
8,11,1,0.456,0.307692308,1.420697808,1.198183948,0.002315,,Homogenous
9,5,1,0.312,0.230769231,1.207320656,0.991264261,0.00208,,Homogenous
10,9,1,0.232,0.153846154,0.997093854,0.773228349,0.002095,,Homogenous
11,6,1,0.08,0.076923077,0.40217919,0.391243564,0.001695,,Homogenous
12,3,1,0,0,0,0,0.00156,,Homogenous
,,,,,,,,,
,,,,,,,,,
Experiment #:,29,,,,,,,,
Rule:,4.43E+11,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Lempel-Ziv Complexity,Zeta,Observations
0,-,2,0.992,0.923076923,1.443606221,1.573402452,0.009495,,Pattern
1,12,4,0.984,0.846153846,1.482691075,1.669180337,0.214265,,"Near chaos, triangle structures"
2,7,4,0.84,0.769230769,1.850288434,1.775858948,0.2594,,"Near chaos, triangle structures"
3,10,3,0.792,0.692307692,1.895353819,1.826245258,0.285135,,Chaos
4,11,4,0.768,0.615384615,1.907900783,1.826245258,0.23584,,"Near chaos, triangle structures"
5,8,4,0.648,0.538461538,1.582059315,1.52623491,0.151595,,"Near chaos, triangle structures"
6,1,4,0.624,0.461538462,1.574424556,1.457265914,0.152305,,"Near chaos, triangle structures"
7,6,4,0.472,0.384615385,1.395709114,1.334679141,0.187865,,"Near chaos, triangle structures"
8,2,4,0.424,0.307692308,1.279518161,1.140115679,0.187725,,"Near chaos, triangle structures"
9,4,4,0.304,0.230769231,1.138893861,0.991264261,0.13751,,"Near chaos, triangle structures"
10,5,4,0.16,0.153846154,0.794309555,0.773228349,0.13724,,"Near chaos, triangle structures"
11,3,1,0.08,0.076923077,0.40217919,0.391243564,0.00169,,Homogenous
12,9,1,0,0,0,0,0.001585,,Homogenous

